hour_bin,transactions,average_risk,observed_fraud,risk_baseline,risk_std,risk_lift,z_score,spike_score,transaction_risk_score,final_risk_score,severity,explanation,alert
3821,21,0.04290736773588853,2,0.03860927826861818,0.01205482383739096,1.1113227094629183,0.35654519097481835,9.783110123895225,4.290736773588853,6.487686113711402,LOW,no major anomaly detected,False
3822,19,0.03702094741684363,0,0.0391001868040429,0.011976454575966905,0.9468227761258604,-0.17361059352002797,8.672278490830793,3.7020947416843626,5.690168241342935,LOW,no major anomaly detected,False
3823,15,0.0875411556316179,2,0.038110688887741724,0.011053835350505498,2.2970237008697962,4.471793289522419,61.15139908048267,8.75411556316179,29.713028970090143,LOW,risk 2.3x above recent baseline; 4.5σ statistical deviation,False
3824,4,0.028550527753063343,0,0.03875455471522349,0.0133339150234472,0.7367012203561245,-0.765268635972011,4.659125888366308,2.8550527753063344,3.576682020530324,LOW,no major anomaly detected,False
3825,23,0.01936313960645325,0,0.03887575193082794,0.013222298070484192,0.4980775584972941,-1.4757353237961117,9.200077095985588,1.936313960645325,4.84181921478143,LOW,no major anomaly detected,False
3826,32,0.022696385396329857,0,0.038620204656683844,0.013547396883373508,0.5876816448304835,-1.1754154246338662,10.121961693979955,2.269638539632986,5.410567801371774,LOW,no major anomaly detected,False
3827,59,0.028544467233064048,1,0.038612540979252215,0.013556736773527797,0.7392537892909438,-0.7426620369179158,11.852626683119654,2.854446723306405,6.453718707231705,LOW,no major anomaly detected,False
3828,101,0.024148145520653662,4,0.03871950743884183,0.013462506813077254,0.6236687168295232,-1.0823661685380759,13.38873056294144,2.414814552065366,6.8043809564157955,LOW,101 transactions in window,False
3829,95,0.03307349218182867,3,0.03853355390849511,0.013637882742090915,0.8583037074744692,-0.4003599260913809,13.213229698450068,3.307349218182867,7.2697014102897475,LOW,no major anomaly detected,False
3830,160,0.03393976194823773,0,0.0388024009779488,0.013455215517355535,0.8746820065986515,-0.36139436216676546,14.710044073928238,3.393976194823773,7.920403346465559,LOW,160 transactions in window,False
3831,147,0.036251828731629465,2,0.03888184894557418,0.013419087788369696,0.9323586638684249,-0.19599098354689562,14.466318268310072,3.6251828731629465,7.961637031221796,LOW,147 transactions in window,False
3832,163,0.04040321504968967,4,0.038995709995593715,0.013383152225024482,1.0360938435088114,0.1051699203917094,15.034193313866503,4.040321504968967,8.43787022852798,LOW,163 transactions in window,False
3833,155,0.03255411181049753,5,0.038928247887820684,0.01337130789681001,0.8362593637481073,-0.476702513061107,14.618715437313776,3.2554111810497526,7.800732883555362,LOW,155 transactions in window,False
